path	status	holla_mode	main_mode	holla_blob	main_blob	partition	kind	added	removed	review_status
apps/jackin-preview/tests/visual.rs	A	000000	100644	0000000000000000000000000000000000000000	2d60fafa4ff2e165ca43a9ac68e7de11703e0dd3	jackin	text	39	0	unread
apps/jackin-preview/tests/world_cwd.rs	A	000000	100644	0000000000000000000000000000000000000000	0b61a8c7a204866f511e8bb64cfc48ed68cd2139	jackin	text	58	0	unread
apps/jackin-preview/tests/world_fixtures.rs	A	000000	100644	0000000000000000000000000000000000000000	558f36c611ff8f430705ed7550358501e81704fb	jackin	text	532	0	unread
apps/showcase/Cargo.toml	A	000000	100644	0000000000000000000000000000000000000000	59328db7f8f6c69daa6db26d1dc5b0b011189d60	showcase	text	25	0	unread
apps/showcase/src/app.rs	A	000000	100644	0000000000000000000000000000000000000000	51ce4dfda51fea8b5ba30b8d42f864d692e97694	showcase	text	1453	0	unread
apps/showcase/src/data.rs	A	000000	100644	0000000000000000000000000000000000000000	74b3bd7172462089289f80fe0b147e52d96b5b1b	showcase	text	405	0	unread
apps/showcase/src/lib.rs	A	000000	100644	0000000000000000000000000000000000000000	50dc532c9e5114b8e3546a8677dec77c99c21269	showcase	text	28	0	unread
apps/showcase/src/main.rs	A	000000	100644	0000000000000000000000000000000000000000	90bd4e5235019393fb49341ce2947f107d0a7570	showcase	text	5	0	unread
apps/showcase/src/pages/author.rs	A	000000	100644	0000000000000000000000000000000000000000	8626b8227d528832fc3ee5c1a80f19d4091794d5	showcase	text	82	0	unread
apps/showcase/src/pages/buttons.rs	A	000000	100644	0000000000000000000000000000000000000000	e367696e569541e794d58a60f04a2ab21a22bd41	showcase	text	428	0	unread
apps/showcase/src/pages/chips.rs	A	000000	100644	0000000000000000000000000000000000000000	b6e11f193a119b0cf8859eb1e54ec2c2a71f3a84	showcase	text	444	0	unread
apps/showcase/src/pages/chrome.rs	A	000000	100644	0000000000000000000000000000000000000000	8c1116c04b3336318be38d6bb4657635e32fc295	showcase	text	455	0	unread
apps/showcase/src/pages/dialogs.rs	A	000000	100644	0000000000000000000000000000000000000000	94c157a3fa8b4d3cf7848190477407f85b99867b	showcase	text	287	0	unread
apps/showcase/src/pages/editable.rs	A	000000	100644	0000000000000000000000000000000000000000	379119c72101a40fce647f2a8a9131d26d6d0cb5	showcase	text	602	0	unread
apps/showcase/src/pages/editor.rs	A	000000	100644	0000000000000000000000000000000000000000	d0bc3b22c9d805451601d4e9462e4c1dbe5aa318	showcase	text	431	0	unread
apps/showcase/src/pages/forms.rs	A	000000	100644	0000000000000000000000000000000000000000	b97b458b19960aa690a2ca28380857537d584a39	showcase	text	858	0	unread
apps/showcase/src/pages/grid.rs	A	000000	100644	0000000000000000000000000000000000000000	7e381fc679c1092617d8e05bb3a63bb111ad770c	showcase	text	412	0	unread
apps/showcase/src/pages/inputs.rs	A	000000	100644	0000000000000000000000000000000000000000	d53ac6eca33cbe4af2c193116f1bf3370aa48e29	showcase	text	462	0	unread
apps/showcase/src/pages/lists.rs	A	000000	100644	0000000000000000000000000000000000000000	4e25b2a7f447d444d70275d004e5d6d47e7abd7d	showcase	text	476	0	unread
apps/showcase/src/pages/mod.rs	A	000000	100644	0000000000000000000000000000000000000000	cc579b98c462e8468407fe9d181bfd60a5253607	showcase	text	226	0	unread
apps/showcase/src/pages/overview.rs	A	000000	100644	0000000000000000000000000000000000000000	ed2323d5da2d34107e0c73e718d512a34bdabbf0	showcase	text	498	0	unread
apps/showcase/src/pages/panels.rs	A	000000	100644	0000000000000000000000000000000000000000	d18c927d2fbc4df9c43777a468c9d2e0877bf764	showcase	text	634	0	unread
apps/showcase/src/pages/pickers.rs	A	000000	100644	0000000000000000000000000000000000000000	177e6e459b6622b6daeb59a29b8b4425faec95c6	showcase	text	1169	0	unread
apps/showcase/src/pages/progress.rs	A	000000	100644	0000000000000000000000000000000000000000	657761bbb2ab24d84809d8e43009e7ca450e0a01	showcase	text	327	0	unread
apps/showcase/src/pages/scrolling.rs	A	000000	100644	0000000000000000000000000000000000000000	9afd8883fcbfea33130c37002b139e0d35782702	showcase	text	422	0	unread
apps/showcase/src/pages/settings.rs	A	000000	100644	0000000000000000000000000000000000000000	a90d79f072f43db1ca50faf3ea87c48ed7f3eb63	showcase	text	659	0	unread
apps/showcase/src/pages/sidebars.rs	A	000000	100644	0000000000000000000000000000000000000000	01f3695b46a3a7fcbd48fe7c46a967a47d4d7f4b	showcase	text	351	0	unread
